Lexical Error:  "  	 at line: 4	 and column: 7
Lexical Error:  :  	 at line: 4	 and column: 40
Lexical Error:  "  	 at line: 4	 and column: 41
Lexical Error:  "  	 at line: 6	 and column: 7
Lexical Error:  :  	 at line: 6	 and column: 39
Lexical Error:  "  	 at line: 6	 and column: 40
Lexical Error:  "  	 at line: 8	 and column: 7
Lexical Error:  :  	 at line: 8	 and column: 40
Lexical Error:  "  	 at line: 8	 and column: 41
Lexical Error:  "  	 at line: 10	 and column: 7
Lexical Error:  :  	 at line: 10	 and column: 39
Lexical Error:  "  	 at line: 10	 and column: 40
Lexical Error:  "  	 at line: 12	 and column: 7
Lexical Error:  :  	 at line: 12	 and column: 39
Lexical Error:  "  	 at line: 12	 and column: 40
Lexical Error:  "  	 at line: 14	 and column: 7
Lexical Error:  :  	 at line: 14	 and column: 39
Lexical Error:  "  	 at line: 14	 and column: 40
Lexical Error:  "  	 at line: 18	 and column: 7
Lexical Error:  :  	 at line: 18	 and column: 30
Lexical Error:  "  	 at line: 18	 and column: 31
